listing_id,name,host_id,neighbourhood,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365,data_year
2728423,Private Room in The Heart of Little Italy,6893710,Little Italy,92101,32.72284,-117.16884,Private room,150.0,3,0.0,,,,2024
20120289,AXOU,108899747,La Jolla,92037,32.86387,-117.23665,Private room,150.0,3,8.0,2019-06-29,,,2024
11317859,Room In Gorgeous Canyon Top Home,17642254,North Park,92116,32.76604,-117.13511,Private room,60.0,7,0.0,,,,2024
18073116,Tree room upstairs,10114396,Clairemont Mesa East,92111,32.81455,-117.17837,Private room,60.0,7,3.0,2019-07-21,,,2024
19914105,Large Room w/ Private Bathroom & Walk-in Closet.,80752999,,91902,32.65785,-116.9999,Private room,140.0,3,9.0,2019-07-28,,,2024
23685873,"Clean, comfortable, relaxing! Central San Diego",177057381,Clairemont Mesa East,92117,32.82763,-117.17685,Private room,60.0,7,2.0,2019-07-20,,,2024
26190169,Suite Amy 3,73851541,Rancho Bernardo,92127,33.00281,-117.08467,Private room,60.0,7,9.0,2019-08-03,,,2024
7810094,Spacious 1BR/BA apt in North Park,41116443,Cherokee Point,92104,32.74788,-117.12076,Entire home/apt,80.0,5,0.0,,,,2024
9859063,Great cozy home in San Diego,8706414,Clairemont Mesa East,92117,32.82784,-117.18366,Private room,200.0,2,2.0,2019-07-21,,,2024
17099811,Large Furnished Master Bedroom + Private .5 bath,16308848,Clairemont Mesa East,92111,32.81849,-117.17312,Private room,40.0,10,3.0,2017-08-05,,,2024
19791961,Brand New Luxury Apartment 6 min. from Comic Con,139771846,East Village,92101,32.70946,-117.15343,Entire home/apt,400.0,1,0.0,,,,2024
20125872,CITY HEIGHTS SQUARE space recommended for Airbnb,131464597,Teralta West,92105,32.75113,-117.10217,Private room,100.0,4,3.0,2018-05-25,,,2024
34371951,Quiet Heaven,237608553,Alta Vista,92114,32.69612,-117.05542,Private room,200.0,2,0.0,,,,2024
9315083,Beautiful Room in Ocean View La Jolla Home,42709700,La Jolla,92037,32.81336,-117.25813,Private room,79.0,5,9.0,2019-08-11,,,2024
27635927,TRAVEL NURSE FRIENDLY (I was one) North Park Condo,53343378,North Park,92104,32.74751,-117.136,Private room,95.0,4,3.0,2018-12-31,,,2024
28564795,San Diego Townhouse room with a view,215584975,Del Cerro,92120,32.79106,-117.06075,Private room,125.0,3,0.0,,,,2024
19955725,"Guest room-twin bed, pool, spa, quiet neighborhood",13586745,North Clairemont,92117,32.83026,-117.21356,Private room,180.0,2,4.0,2019-03-13,,,2024
29850271,South Park Room,40406347,South Park,92102,32.72643,-117.12486,Private room,180.0,2,0.0,,,,2024
33361435,La Jolla Haven near the Beach,1339763,Torrey Pines,92037,32.87254,-117.24494,Private room,90.0,4,5.0,2019-06-21,,,2024
6465868,Private bedroom with breakfast incl,33650928,Paradise Hills,92139,32.67524,-117.05125,Private room,350.0,1,0.0,,,,2024
10588878,LUXURY MASTER SUITE W/ PRIVATE BATH,9243154,Clairemont Mesa West,92111,32.80048,-117.18639,Private room,50.0,7,0.0,,,,2024
11801217,"Cozy and peaceful, ideal for studying",42076933,La Jolla,92037,32.85789,-117.23258,Private room,50.0,7,2.0,2019-06-28,,,2024
16268888,Bright bedroom upstairs large closet full bed,10114396,Clairemont Mesa East,92111,32.81727,-117.17605,Private room,50.0,7,17.0,2019-06-29,,,2024
25138355,Private Bedroom in Ocean Beach Home,45039463,Ocean Beach,92107,32.74891,-117.24267,Private room,50.0,7,2.0,2018-06-10,,,2024
26848573,Airbnb in Golden Hill,25617057,Golden Hill,92102,32.71347,-117.13861,Private room,350.0,1,1.0,2018-07-22,,,2024
27170948,Mission valley.,204593780,Serra Mesa,92108,32.77503,-117.1537,Private room,50.0,7,1.0,2018-08-18,,,2024
30554922,La Jolla / UTC / UCSD 3-Level House near Beaches!,229250762,University City,92122,32.84815,-117.20234,Private room,350.0,1,0.0,,,,2024
34063140,Point Loma Charmer,243538472,Loma Portal,92106,32.74064,-117.22115,Private room,70.0,5,3.0,2019-07-31,,,2024
32337570,North Park Modern Town home,242787378,University Heights,92104,32.7544,-117.14129,Private room,85.0,4,5.0,2019-08-02,,,2024
16225439,Private unfurnished room in University Heights,90978960,University Heights,92103,32.75242,-117.14413,Private room,28.0,12,0.0,,,,2024
23651232,"Relaxing, comfortable, clean in central location",177057381,Clairemont Mesa East,92117,32.82801,-117.17684,Private room,56.0,6,6.0,2019-06-26,,,2024
16422957,Beautiful San Diego Home!,107655736,Allied Gardens,92120,32.79167,-117.07988,Private room,65.0,5,4.0,2017-08-17,,,2024
23292945,"MASTER/PRIVATE ROOM in 3BR house, Pacific Beach,SD",173416210,Pacific Beach,92109,32.8003,-117.23203,Private room,65.0,5,11.0,2018-10-28,,,2024
9862390,Cottage by the beach,491517,Ocean Beach,92107,32.75186,-117.24858,Entire home/apt,80.0,4,1.0,2015-12-27,,,2024
18407151,Clean and cozy bedroom,127526494,Rancho Penasquitos,92129,32.94748,-117.12818,Private room,45.0,7,8.0,2018-09-05,,,2024
37783547,"Private room w/bath, Chula Vista",5488607,,91913,32.63399,-116.98322,Private room,45.0,7,0.0,,,,2024
19858342,Home Away From Home for YOU,69196511,,91910,32.62551,-117.08919,Private room,104.0,3,1.0,2017-07-23,,,2024
22545815,home away from home for YOU,69196511,,91910,32.62701,-117.08908,Private room,104.0,3,4.0,2019-07-21,,,2024
37094698,Beautiful Bedroom  Scripps Ranch near Miramar Lake,279002104,Scripps Ranch,92131,32.90301,-117.10724,Private room,44.0,7,0.0,,,,2024
21135787,Cute Commuter Room in San Diego,152474759,Mira Mesa,92126,32.92144,-117.13418,Private room,150.0,2,3.0,2017-10-19,,,2024
26987844,My Room,139524466,,91915,32.62607,-116.95517,Private room,150.0,2,0.0,,,,2024
33494419,Military grade RV.  Great for the beach or desert.,8653869,Fox Canyon,92105,32.74573,-117.09202,Entire home/apt,75.0,4,0.0,,,,2024
36701625,Comic-Con Private Room,23553543,North Park,92103,32.74576,-117.14679,Private room,300.0,1,0.0,,,,2024
9214669,Spanish Style in Sorrento Valley,47919061,Mira Mesa,92126,32.92347,-117.16541,Private room,144.0,2,7.0,2019-06-30,,,2024
24660304,U,35658167,Roseville/Fleet Ridge,92106,32.72676,-117.23152,Entire home/apt,95.0,3,0.0,,,,2024
